CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[3144],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA  BESAR / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BB22A [3144],BASALT [3144],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3144] ,55.1,1.31,,16.35,,,,10.48,8.04,3.19,0.27,,0.55,3.36,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,7,,,,,68,111,,,,,,12,193,50,114,,,,,,,,,,,,,,156,8,20,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,67761
[3144],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / MANUK / PACIFIC OCEAN,,-5.5,-5.5,130.22,130.22,SUBAERIAL,,,s MA2E [3144],BASALT [3144],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3144] ,57.49,0.76,,17.5,,,,6.65,8.01,4.01,0.17,,1.07,3.47,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,69,,,,19,45,72,,,,,,40,222,27,122,3,,,,,,,,,,,,,222,12,23,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,67762
[3144],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI13 [3144],BASALT [3144],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3144] ,57.08,0.59,,17.29,,,,7.12,8.5,3.8,0.19,,2.01,2.53,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,19,,,,,51,71,,,,,,81,392,20,96,5,,,,,,,,,,,,,604,17,29,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,67764
[3144],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TEUN (TEON) / SERAWERNA / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s TE2A [3144],BASALT [3144],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3144] ,57.59,0.64,,18.38,,,,6.33,7.5,3.23,0.17,,2.1,3.19,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,18,,,,,39,68,,,,,,73,531,24,116,8,,,,,,,,,,,,,705,35,60,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,67765
[3910],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s T10 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,56.73,1.02,,17.57,,,,8.53,7.43,3.27,,,1.55,3.45,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12859,,,,254.2,5.8,,,,7.6,142.3,81.4,,,,,,36.33,362.9,33.9,123.1,2.3,,,,,,,,,,,,2.5,314.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70419,,,,,,,,,,,,,,,,,,,,,67999
[3910],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s T2 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,57.23,0.86,,17.72,,,,7.84,7.62,3.62,,,1.6,3.26,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13254,,,,195.4,53.1,,,,24.2,33.4,57.5,,,,,,41.56,338.1,25.8,124.7,6.1,,,,,,,,,,,,2.77,295.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7041,,18.588,,15.597,,38.612,,,,,,,,,,,,,,,68000
[3910],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s T1 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,61.65,0.93,,16.69,,,,6.88,5.13,2.04,,,2.22,4.08,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18423,,,,113,5,,,,4,52.8,76.5,,,,,,57.38,384.2,41.8,169.4,4.9,,,,,,,,,,,,3.94,415.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70424,,18.61,,15.62,,38.68,,,,,,,,,,,,,,,68001
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 1 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,45.01,0.02,,0.86,0.48,0.24,7.13,,0.51,45.7,0.11,0.32,0.005,0.035,,,,0.04,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68396
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 2 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,45.36,0.02,,0.89,0.51,0.74,7.33,,0.7,43.84,0.14,0.31,0.008,0.049,,,,0.09,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68397
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 4 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,44.15,0.05,,2.34,0.53,0.74,7.56,,2.21,41.24,0.14,0.28,0.005,0.058,,,,0.12,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68398
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 6 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,43.84,0.08,,2.6,0.49,0.79,7.43,,2.34,41.91,0.13,0.29,0.005,0.181,,,,0.06,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68399
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 7 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,MYLONITIC [3131] ,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,44.49,0.09,,3.05,0.47,0.7,7.98,,2.55,39.94,0.15,0.25,0.007,0.179,,,,0.07,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68400
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 8 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,MYLONITIC [3131] ,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,44.74,0.1,,3.07,0.48,0.67,7.49,,2.75,40,0.14,0.27,0.004,0.183,,,,0.06,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68401
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 9 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,43.74,0.09,,3.11,0.47,0.99,7.31,,3.08,39.23,0.14,0.26,0.006,0.155,,,,0.16,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68402
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 10 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,44.32,0.1,,3.17,0.47,0.69,7.63,,3.03,39.27,0.13,0.27,0.02,0.21,,,,0.07,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68403
[3131],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / HILI MANU / TIMOR SEA / INDIAN OCEAN,EAST TIMOR,-8.495,-8.495,125.936,125.936,SUBAERIAL,,,s 12 [3131],"LHERZOLITE, XENOLITH [3131]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [3131] ,45.63,0.15,,4.47,0.51,0.77,7.05,,4.18,36.93,0.14,0.25,0.003,0.346,,,,0.05,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68404
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA3A [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,180,,,,,,,,,,,,,,,,,,,,19.2,5.79,,,,,,,,,,,,,,,,,,,,,,,,0.512866,,,0.704804,,,,,,,,,,,,,,,,,,,,,68927
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA4 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,184,,,,,,,,,,,,,,,,,,,,14.6,4.48,,,,,,,,,,,,,,,,,,,,,,,,0.51287,,,0.704801,,18.68,,15.627,,38.854,,,,,,,,,,,,,,,68928
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA4 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.684,,15.642,,38.915,,,,,,,,,,,,,,,68929
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA6A [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704832,,,,,,,,,,,,,,,,,,,,,68930
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA16 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704836,,,,,,,,,,,,,,,,,,,,,68933
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA20A [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704821,,,,,,,,,,,,,,,,,,,,,68934
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BA27A [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70484,,,,,,,,,,,,,,,,,,,,,68935
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA NAIRA / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BN1A2 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704828,,,,,,,,,,,,,,,,,,,,,68936
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA NAIRA / PACIFIC OCEAN,,-5,-7,129,132,SUBAERIAL,,,s BN1A2 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704803,,,,,,,,,,,,,,,,,,,,,68937
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BESAR / BESAR / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s BB21A3 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,209,,,,,,,,,,,,,,,,,,,,11.2,3.65,,,,,,,,,,,,,,,,,,,,4.65,,1.04,0.33,0.512911,,,0.704501,,18.682,,15.636,,38.906,,,,,,,,,,,,,,,68943
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BESAR / BESAR / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s BB21A3 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67,,15.621,,38.84,,,,,,,,,,,,,,,68945
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BESAR / BESAR / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s BB28 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704614,,,,,,,,,,,,,,,,,,,,,68946
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / SERUA / PACIFIC OCEAN,,-6.33,-6.33,130.03,130.03,SUBAERIAL,,,s SE14A1 [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709156,,,,,,,,,,,,,,,,,,,,,68958
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI10AII [3122],NOT GIVEN [3122],,,,,,,,CUMULATE [3122] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4.23,,,,,,,,,,,,,,,,,,,,,,,,0.5126,,,0.707751,,,,,,,,,,,,,,,,,,,,,68973
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI10AIIRESIDUE [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707717,,19.313,,15.72,,39.514,,,,,,,,,,,,,,,68974
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI10AII_LEACHED [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707798,,19.313,,15.733,,39.521,,,,,,,,,,,,,,,68975
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI10AIIIINCL [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,2.64,,,,,,,,,,,,,,,,,,,,13.2,,7.57,1.05,0.512601,,,0.707722,,,,,,,,,,,,,,,,,,,,,68976
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI10AIIIRESIDUE [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707675,,19.292,,15.729,,39.558,,,,,,,,,,,,,,,68977
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / NILA / PACIFIC OCEAN,,-6.66,-6.66,129.49,129.49,SUBAERIAL,,,s NI10AIII_LEACHED [3122],NOT GIVEN [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70777,,19.3,,15.723,,39.485,,,,,,,,,,,,,,,68978
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TEUN (TEON) / PACIFIC OCEAN,,-7,-7,129.1,129.1,SUBAERIAL,,,s TE1B2 [3122],ANDESITE [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,596,,,,,,,,,,,,,,,,,,,,27.1,6.43,,,,,,,,,,,,,,,,,,,,,,,,0.512526,,,0.707941,,,,,,,,,,,,,,,,,,,,,68999
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TEUN (TEON) / PACIFIC OCEAN,,-7,-7,129.1,129.1,SUBAERIAL,,,s TE2B1 [3122],ANDESITE [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,497,,,,,,,,,,,,,,,,,,,,16.3,3.74,,,,,,,,,,,,,,,,,,,,,,,,0.512577,,,0.709511,,,,,,,,,,,,,,,,,,,,,69001
[3122],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TEUN (TEON) / PACIFIC OCEAN,,-7,-7,129.1,129.1,SUBAERIAL,,,s TE2B1 [3122],ANDESITE [3122],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3122] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709448,,,,,,,,,,,,,,,,,,,,,69002
