El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
Cl,2.621400491,150,22.06759333,13.51077143,33.10139,328.819033,4.72877,"K$\alpha$1,2","K_1,2",151.4591169,13.18780478,51.4056606,17
Ar,3.189912506,15,18.13466667,11.10285714,27.202,270.2163062,3.886,"K$\beta$1,3","K$\beta$1,3",124.4657973,10.8374502,42.24405016,18
Ca,0.302636719,1,191.1466667,117.0285714,286.72,2848.188343,40.96,L$\iota$,L_,1311.919469,114.2310757,445.2692472,20
Ti,0.452078775,100,127.96,78.34285714,191.94,1906.672958,27.42,"L$\alpha$1,2","L$\alpha$1,2",878.242965,76.47011952,298.0781923,22
V,4.951349279,100,11.68328,7.153028571,17.52492,174.0871682,2.50356,K$\alpha$1,K_1,80.18723404,6.982039841,27.21577824,23
V,4.943805885,50,11.70110667,7.163942857,17.55166,174.3527951,2.50738,K$\alpha$2,K_2,80.30958591,6.992693227,27.25730481,23
Mn,5.886654826,50,9.826973333,6.016514286,14.74046,146.4271985,2.10578,K$\alpha$2,K_2,67.44662549,5.872693227,22.89157899,25
Co,7.648122212,20,7.563686667,4.630828571,11.34553,112.7030074,1.62079,"K$\beta$1,3","K$\beta$1,3",51.91274308,4.520131474,17.61933455,27
Co,7.707996518,,7.504933333,4.594857143,11.2574,111.8275511,1.6082,AK,AK,51.50949439,4.48501992,17.48247078,27
Co,0.693676553,2,83.39333333,51.05714286,125.09,1242.605608,17.87,L$\eta$,L$\eta$,572.3633036,49.83665339,194.2617541,27
Ni,0.851315157,100,67.95133333,41.60285714,101.927,1012.511486,14.561,"L$\alpha$1,2","L$\alpha$1,2",466.3784031,40.60836653,158.2901735,28
Ni,0.853425129,,67.78333333,41.5,101.675,1010.008195,14.525,Al3,Al3,465.2253489,40.50796813,157.8988236,28
Cu,0.112079566,,516.1333333,316,774.2,7690.664812,110.6,Am1,Am1,3542.438801,308.4462151,1202.313934,29
Zn,1.02184486,,56.61133333,34.66,84.917,843.5393747,12.131,Al3,Al3,388.5472432,33.8314741,131.8740537,30
Ga,10.25861712,7,5.638966667,3.452428571,8.45845,84.02364219,1.20835,K$\beta$3,K_3,38.70258522,3.369900398,13.13576892,31
Ga,1.144809752,,50.53066667,30.93714286,75.796,752.9341645,10.828,Al2,Al2,346.8130863,30.19760956,117.7093606,31
As,10.54189203,100,5.48744,3.359657143,8.23116,81.7658132,1.17588,K$\alpha$1,K_1,37.66259437,3.279346614,12.78279303,33
As,1.154835103,1,50.092,30.66857143,75.138,746.3977947,10.734,L$\eta$,L$\eta$,343.8023336,29.93545817,116.6875024,33
Se,1.244328448,1,46.48933333,28.46285714,69.734,692.7161199,9.962,L$\eta$,L$\eta$,319.0757264,27.78247012,108.2952207,34
Rb,1.692263587,10,34.1838,20.92885714,51.2757,509.3570417,7.3251,L$\alpha$2,L_2,234.6177076,20.42856574,79.62992585,37
Sr,1.936088464,3,29.8788,18.29314286,44.8182,445.2102218,6.4026,L$\beta$4,L_4,205.0706932,17.85585657,69.60158404,38
Y,16.73506858,16,3.456693333,2.116342857,5.18504,51.50659349,0.74072,K$\beta$1,K_1,23.72473118,2.065752988,8.052242109,39
Y,1.922218087,100,30.0944,18.42514286,45.1416,448.422778,6.4488,L$\alpha$1,L_1,206.5504461,17.9847012,70.10381644,39
Zr,15.77239703,100,3.667673333,2.245514286,5.50151,54.65030919,0.78593,K$\alpha$1,K_1,25.17277511,2.191836653,8.543712389,40
Nb,2.256977951,45,25.63073333,15.69228571,38.4461,381.9117391,5.4923,L$\beta$1,L$\beta$1,175.9144361,15.31717131,59.70586637,41
Tc,18.24765942,50,3.17016,1.940914286,4.75524,47.23709241,0.67932,K$\alpha$2,K_2,21.75813315,1.894517928,7.384773071,43
Si,1.765811966,,32.76,20.05714286,49.14,488.1416545,7.02,SK$\alpha\6,SK$\alpha\6,224.8455731,19.57768924,76.31323524,14
P,2.143153527,,26.992,16.52571429,40.488,402.1953461,5.784,AK,AK,185.2573782,16.13067729,62.87688784,15
P,2.044464969,,28.29493333,17.32342857,42.4424,421.6097549,6.0632,SK$\alpha\6,SK$\alpha\6,194.1999542,16.90932271,65.91202392,15
S,2.467700516,7,23.44206667,14.35228571,35.1631,349.2994263,5.0233,K$\beta$X,K$\beta$X,160.8927019,14.00920319,54.60744652,16
S,2.321013637,45,24.92359333,15.25934286,37.38539,371.3749721,5.34077,SK$\alpha\3,SK$\alpha\3,171.0610387,14.89457769,58.05860931,16
Cl,2.620331029,50,22.0766,13.51628571,33.1149,328.9532371,4.7307,K$\alpha$2,K_2,151.5209334,13.19318725,51.4266413,17
