No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Total,Comment
139,56.91,1.5939,17.89,6.38,0.1691,2.27,3.54,5.01,5.48,0.963,0,0.0256,100.2315,GProbe Mitte Grid 010x011 Grid 020x021
140,56.71,1.6106,17.86,6.32,0.1711,2.24,3.57,5.1,5.49,0.9332,0,0.0003,100.0051,GProbe Mitte Grid 010x011 Grid 020x021
142,57.09,1.6035,17.92,6.39,0.1648,2.32,3.57,5.08,5.52,0.9269,0.0197,0.0356,100.6404,GProbe Mitte Grid 010x011 Grid 020x021
143,56.71,1.6032,17.79,6.33,0.1578,2.25,3.55,5.11,5.53,0.9679,0,0,99.999,GProbe Mitte Grid 010x011 Grid 020x021
145,56.91,1.6078,17.83,6.32,0.1658,2.33,3.52,5.03,5.51,0.9118,0,0.0168,100.1521,GProbe Mitte Grid 010x011 Grid 020x021
146,57.05,1.6311,17.92,6.39,0.1343,2.29,3.6,5.02,5.5,0.9033,0,0.0151,100.4537,GProbe Mitte Grid 010x011 Grid 020x021
148,0.6682,0.0014,0,0.0186,0.0014,1.5121,51.94,0.0655,0.0025,0.006,0,0,54.2157,GProbe Mitte Grid 010x011 Grid 020x021
149,1.7443,0.0092,0,0,0,1.4802,51.88,0.0711,0.0008,0.0056,0.0005,0,55.1917,GProbe Mitte Grid 010x011 Grid 020x021
151,0.7434,0.0012,0,0,0,1.4675,52.26,0.0464,0,0.0009,0.0071,0.0084,54.5349,GProbe Mitte Grid 010x011 Grid 020x021
152,0.5182,0.0106,0.0001,0.0113,0,1.4524,52.59,0.0567,0.0023,0.0008,0,0,54.6425,GProbe Mitte Grid 010x011 Grid 020x021
